country,client_ip,gender,age,income,is_banned,requested_file
21,1139885159,0,6,7,0,3475
62,9522297201,1,5,7,0,4678
155,2442221370,1,5,3,0,2116
163,210162186132,0,6,2,0,5762
45,1932491643,0,4,0,0,3813
22,3817669111,0,6,5,0,4026
140,21811924850,1,3,5,0,1221
28,1962027324,1,2,2,0,6727
9,512184562,1,6,1,0,6716
143,144103172246,0,5,4,0,3664
163,686414383,1,1,6,0,1413
113,17214949163,1,5,2,0,418
114,16023845116,0,0,0,0,6691
80,1171985987,1,7,2,0,9944
193,235227221,0,2,6,0,2428
104,13312525291,1,2,3,0,470
63,19520509,1,4,2,0,3770
62,9522297207,1,0,4,0,8070
123,223168187241,1,6,7,0,7742
181,1741235766,1,1,4,0,4715
115,16306212,1,6,3,0,4508
48,1788695170,1,3,4,0,587
65,2111578645,0,7,2,0,3302
36,1537820925,0,0,6,0,7118
94,5112747232,1,6,0,0,6944
57,23513269109,0,4,5,0,5288
118,2343822445,1,5,7,1,8397
57,736244251,1,0,2,0,1213
35,711224205,0,1,3,0,5603
114,10035126239,0,6,2,0,6977
173,14488184153,0,4,3,0,2348
51,22115315234,0,6,1,0,5178
195,5711414952,0,2,6,0,9106
54,1428190220,1,2,6,0,5889
106,150203131111,0,2,7,0,3419
1,16320567157,0,4,6,0,9865
69,1422017446,0,2,5,0,9666
75,200133152126,0,5,4,0,9940
152,21460183246,0,7,2,0,5700
55,21821812137,1,3,1,0,2273
80,158153161231,0,6,5,0,9468
153,11485200230,1,4,5,0,5069
120,15819611290,1,2,4,0,3703
38,126216165175,0,3,1,0,4223
136,18817517278,1,6,1,0,846
158,22723417510,0,2,7,0,8400
191,1102944174,1,5,2,0,719
7,631453174,1,6,4,0,2158
195,57114149197,0,2,7,0,1799
45,5712545179,0,5,5,0,2327
70,10720993202,0,1,1,0,4951
21,215154682,1,5,3,0,9498
160,1862184112,0,5,2,0,8362
56,149184144231,1,7,0,0,1120
11,15922923532,1,0,7,0,3126
72,56575161,1,2,2,0,9953
4,13010184210,1,1,7,0,3936
58,139757140,1,6,6,0,6909
49,2024021436,1,2,5,0,5216
70,228855399,0,6,6,0,2625
6,2142032775,1,2,7,0,9063
158,227234175161,0,2,1,0,4967
18,14620415751,1,0,4,0,1546
135,21120720871,1,0,3,0,3139
94,511274724,1,7,0,0,7194
66,12219193164,0,2,2,0,5448
96,2438712718,1,4,4,0,7227
160,16110717128,1,4,2,0,4803
137,121128203136,0,7,7,0,3610
181,841095474,1,5,1,0,9487
83,206250215225,1,0,1,0,9238
72,56575115,0,5,4,0,7968
38,126216165185,1,1,1,0,2368
91,61552582,0,7,4,0,7994
61,2183373156,0,7,4,0,8783
28,5048219142,0,2,4,0,6180
129,135117103137,1,6,3,0,2405
178,667917659,0,2,7,0,7566
97,1862077255,0,4,3,1,653
109,1917192247,0,4,0,0,9613
3,21117415240,1,3,6,0,4935
54,107654858,1,0,7,0,5688
110,6415916378,1,3,0,0,218
111,175134237,0,5,1,0,6330
130,13012159216,0,7,1,0,4535
48,1788695136,1,4,4,0,1594
142,27190108172,0,4,0,0,5852
93,10824285157,1,1,1,0,7750
111,892026820,0,3,2,0,1247
141,58170123245,1,6,4,0,6834
73,19538129190,0,5,4,0,3529
103,12853175247,1,7,6,0,3675
139,112463519,0,1,2,0,3913
132,621157184,0,7,5,0,1174
179,17552197179,1,1,1,0,2679
114,241512140,0,5,1,0,1181
11,410718628,1,6,7,0,9556
61,2183373144,1,4,6,0,2299
12,262517926,1,3,4,0,1481
178,52191228248,1,0,0,0,6623
77,179199189125,0,2,1,0,2471
127,1383851130,0,0,4,1,7713
189,11720316087,0,1,7,0,1093
174,621018428,0,4,5,0,5781
8,219200134133,1,1,1,0,3003
25,16914117364,1,7,5,0,7344
14,598202167,1,3,0,0,926
162,4919321015,1,6,2,0,9254
164,1604953220,1,0,0,0,3803
158,4442141178,0,3,1,0,141
114,241512131,1,5,2,0,6562
80,154171742,0,4,5,0,8359
111,8920268137,1,4,0,0,9482
192,981823436,0,5,6,0,8285
195,57114149241,1,5,0,0,6028
53,23523216138,1,2,5,0,4106
129,10112340210,1,1,2,0,4215
2,1698312274,0,4,2,0,4340
107,12676238141,0,7,0,0,8455
36,36020424,0,0,0,0,37
19,24414121119,0,7,1,0,6721
30,13980247107,0,6,5,0,9339
132,62115735,1,6,0,0,3784
26,3531143210,0,6,2,0,6338
190,571919138,0,5,4,0,1709
37,2984155173,1,2,5,0,63
167,111153240215,0,1,1,0,9585
